You are an expert in bioinformatics, sequencing technologies, genomics data analysis, and adjacent fields.

You are given findings from a MultiQC report, generated by a bioinformatics workflow.
MultiQC supports various bioinformatics tools that output QC metrics, and aggregates those metrics
into a single report. It outputs a "General Statistics" table with key metrics for each sample across
all tools. That table is followed by more detailed sections from specific tools, that can include tables,
as well as plots of different types (bar plot, line plot, scatter plot, heatmap, etc.)

You are given data from such a report. Your task is to analyse the data, and
give 1-2 bullet points of a very short and concise overall summary for the results.
Don't waste words: mention only the important QC issues. If there are no issues, just say so.
Just print one or two bullet points, nothing else.
Please do not add any extra headers to the response.

Use markdown to format your reponse for readability. Use directives with pre-defined classes
.text-green, .text-red, and .text-yellow to highlight severity, e.g. :span[39.2%]{.text-red}.
Highlight any mentioned sample names or sample named prefixes or suffixes with a sample directive,
and make sure to use the same color classes for severity, e.g. :sample[A1001.2003]{.text-yellow}
or :sample[A1001]{.text-yellow}. Do not put multiple sample names inside one directive.

You must use only multiples of 4 spaces to indent nested lists.



Two examples of short summaries:

- :span[11/13 samples]{.text-green} show consistent metrics within expected ranges.
- :sample[A1001.2003]{.text-red} and :sample[A1001.2004]{.text-red} exhibit extremely high percentage of :span[duplicates]{.text-red} (:span[65.54%]{.text-red} and :span[83.14%]{.text-red}, respectively).

- All samples show good quality metrics with :span[75.7-77.0%]{.text-green} CpG methylation and :span[76.3-86.0%]{.text-green} alignment rates
- :sample[2wk]{.text-yellow} samples show slightly higher duplication (:span[11-15%]{.text-yellow}) compared to :sample[1wk]{.text-green} samples (:span[6-9%]{.text-green})'



----------------------

Tools used in the report:

1. VEP
Description: <p>Determines the effect of variants on genes, transcripts and protein sequences, as well as regulatory regions.</p>
Links: https://www.ensembl.org/info/docs/tools/vep/index.html

----------------------

----------------------

Tool: VEP
Section: General Statistics
Section help text: Table showing general statistics of VEP annotation run
Title: VEP General Statistics

Plot type: violin plot

Number of samples: 215

Metrics:
Overlapped regulatory features - Overlapped regulatory features
Overlapped transcripts - Overlapped transcripts
Overlapped genes - Overlapped genes
Existing variants - Existing variants
Novel variants - Novel variants
Variants filtered out - Variants filtered out
Variants processed - Variants processed
Lines of input read - Lines of input read

|Sample Name|Overlapped regulatory features|Overlapped transcripts|Overlapped genes|Existing variants|Novel variants|Variants filtered out|Variants processed|Lines of input read|
|TSI_GGCX|1|1|12|4|8|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|TSI_DRD2|nan|2|2|3|105|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|TSI_CYP4F2|5|nan|2|2|41|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|TSI_CYP2D6|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|
|TSI_CYP2C9|1|nan|4|1|44|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|TSI_CALU|2|3|8|nan|25|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|STU_VKORC1|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|STU_UGT2B7|1|1|nan|2|24|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|STU_OPRM1|2|nan|5|2|22|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|STU_GGCX|nan|nan|nan|1|3|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|STU_DRD2|nan|nan|1|1|13|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|STU_CYP4F2|1|nan|nan|1|12|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|STU_CYP2C9|nan|nan|2|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|STU_CALU|1|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|SAS_VKORC1|3|1|1|2|4|nan|nan|nan|nan|1|nan|nan|nan|2|nan|nan|nan|
|SAS_UGT2B7|2|1|1|12|203|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|SAS_OPRM1|4|6|50|10|368|nan|2|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|
|SAS_GGCX|1|nan|8|10|16|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|SAS_DRD2|1|4|5|3|170|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|SAS_CYP4F2|5|2|7|1|66|3|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|SAS_CYP2C9|2|nan|9|4|95|2|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|SAS_CALU|2|1|7|nan|51|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|PJL_VKORC1|1|1|1|1|3|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|
|PJL_UGT2B7|1|nan|1|5|167|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|PJL_OPRM1|3|3|36|6|231|nan|2|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|PJL_GGCX|1|nan|3|7|11|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|PJL_DRD2|1|2|1|2|92|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|PJL_CYP4F2|3|nan|4|1|16|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|PJL_CYP2C9|1|nan|3|3|61|nan|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|PJL_CALU|1|nan|4|nan|34|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|MSL_VKORC1|2|nan|1|nan|2|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|MSL_UGT2B7|2|nan|1|2|64|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|MSL_OPRM1|5|1|15|4|50|1|3|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|MSL_GGCX|1|nan|3|4|6|1|3|nan|1|nan|nan|1|nan|nan|nan|nan|nan|
|MSL_DRD2|nan|nan|5|nan|19|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|MSL_CYP4F2|5|4|nan|1|39|3|4|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|MSL_CYP2C9|3|nan|1|1|14|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|MSL_CALU|3|2|6|nan|6|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|LWK_VKORC1|1|7|2|3|2|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|
|LWK_UGT2B7|1|nan|2|6|130|nan|7|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|LWK_OPRM1|3|1|38|9|218|1|3|nan|1|nan|nan|nan|2|nan|nan|nan|nan|
|LWK_GGCX|2|nan|4|11|8|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|LWK_DRD2|nan|5|2|1|77|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|LWK_CYP4F2|7|5|5|1|55|nan|4|1|nan|1|nan|nan|nan|nan|nan|nan|nan|
|LWK_CYP2C9|3|nan|7|3|38|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|LWK_CALU|2|3|1|nan|22|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|KHV_VKORC1|nan|1|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|KHV_UGT2B7|1|nan|nan|2|44|nan|2|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|KHV_OPRM1|2|nan|10|1|32|nan|2|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|KHV_GGCX|1|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|KHV_DRD2|nan|1|1|nan|21|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|KHV_CYP4F2|2|nan|1|1|11|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|KHV_CYP2C9|1|nan|nan|nan|3|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|KHV_CALU|1|nan|1|nan|2|nan|1|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|JPT_VKORC1|nan|2|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|JPT_UGT2B7|nan|nan|nan|nan|10|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|JPT_OPRM1|1|nan|12|4|24|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|JPT_GGCX|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|JPT_DRD2|nan|nan|2|1|14|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|JPT_CYP4F2|1|nan|nan|nan|10|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|JPT_CYP2C9|nan|nan|1|nan|14|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|JPT_CALU|1|nan|nan|nan|4|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ITU_VKORC1|2|nan|1|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ITU_UGT2B7|1|nan|1|2|36|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ITU_OPRM1|2|nan|7|3|49|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ITU_GGCX|nan|nan|1|1|8|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ITU_DRD2|nan|nan|2|nan|20|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ITU_CYP4F2|1|nan|2|1|17|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ITU_CYP2C9|nan|nan|3|nan|14|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ITU_CALU|1|1|1|nan|6|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|IBS_VKORC1|nan|1|1|2|3|nan|1|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|
|IBS_UGT2B7|1|nan|1|7|140|nan|6|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|
|IBS_OPRM1|3|1|32|6|141|nan|2|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|IBS_GGCX|1|2|6|5|10|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|IBS_DRD2|nan|2|5|4|81|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|IBS_CYP4F2|4|1|1|1|41|3|2|1|nan|1|nan|nan|nan|nan|nan|nan|nan|
|IBS_CYP2C9|2|nan|9|3|36|2|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|IBS_CALU|2|1|5|nan|20|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GWD_VKORC1|2|nan|1|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GWD_UGT2B7|3|1|2|4|71|1|5|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|GWD_OPRM1|4|nan|10|8|42|nan|2|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|GWD_GGCX|1|1|3|5|12|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GWD_DRD2|nan|nan|2|1|28|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GWD_CYP4F2|4|1|1|1|21|nan|4|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GWD_CYP2C9|2|nan|1|nan|10|1|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GWD_CALU|1|nan|2|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GIH_VKORC1|nan|1|1|1|2|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|GIH_UGT2B7|2|nan|1|4|40|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GIH_OPRM1|2|3|20|2|120|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GIH_GGCX|nan|nan|4|3|5|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GIH_DRD2|1|3|5|1|95|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GIH_CYP4F2|3|2|3|1|38|3|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GIH_CYP2C9|2|nan|7|2|30|2|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GIH_CALU|1|nan|2|nan|8|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GBR_VKORC1|nan|1|2|3|1|nan|nan|nan|nan|nan|nan|nan|nan|1|2|nan|nan|
|GBR_UGT2B7|1|nan|1|6|80|nan|4|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|
|GBR_OPRM1|4|1|38|9|252|nan|2|nan|nan|1|nan|nan|2|nan|nan|nan|nan|
|GBR_GGCX|1|1|8|8|11|nan|4|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|GBR_DRD2|nan|4|2|1|111|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GBR_CYP4F2|5|3|2|1|47|3|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GBR_CYP2C9|1|nan|4|3|33|nan|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|GBR_CALU|2|2|8|1|47|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|FIN_VKORC1|1|3|2|2|5|nan|1|nan|nan|nan|nan|nan|nan|1|1|nan|nan|
|FIN_UGT2B7|1|2|2|7|134|nan|4|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|
|FIN_OPRM1|3|4|41|16|279|nan|4|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|FIN_GGCX|1|3|4|7|12|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|FIN_DRD2|1|5|4|3|131|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|FIN_CYP4F2|4|3|1|1|63|3|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|FIN_CYP2D6|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|FIN_CYP2C9|1|nan|8|4|55|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|FIN_CALU|1|1|7|nan|28|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|EUR_VKORC1|1|6|2|8|10|nan|1|nan|nan|nan|nan|nan|nan|1|3|nan|nan|
|EUR_UGT2B7|1|3|2|10|318|nan|8|nan|nan|4|nan|nan|nan|1|nan|nan|nan|
|EUR_OPRM1|6|8|99|25|757|nan|4|nan|nan|1|nan|nan|2|nan|nan|nan|nan|
|EUR_GGCX|1|5|27|19|26|nan|4|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|EUR_DRD2|2|10|8|6|292|nan|4|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|EUR_CYP4F2|6|4|4|2|122|3|2|1|nan|1|nan|nan|nan|nan|nan|1|nan|
|EUR_CYP2D6|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|
|EUR_CYP2C9|2|nan|14|5|143|2|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|EUR_CALU|2|5|19|1|100|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ESN_VKORC1|1|nan|2|1|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ESN_UGT2B7|1|nan|1|8|109|nan|6|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|
|ESN_OPRM1|5|3|27|8|149|nan|2|nan|1|nan|1|nan|2|nan|nan|nan|nan|
|ESN_GGCX|1|nan|5|7|13|1|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ESN_DRD2|nan|1|3|1|52|nan|4|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ESN_CYP4F2|5|5|2|2|58|2|4|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|ESN_CYP2D6|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ESN_CYP2C9|4|nan|4|1|41|nan|1|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|
|ESN_CALU|2|3|5|nan|11|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|EAS_VKORC1|nan|4|2|2|6|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|EAS_UGT2B7|3|nan|1|10|210|nan|4|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|
|EAS_OPRM1|10|4|54|12|378|nan|4|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|EAS_GGCX|1|nan|11|13|12|1|2|nan|nan|3|nan|nan|nan|nan|nan|nan|nan|
|EAS_DRD2|nan|6|5|6|173|nan|1|nan|1|nan|nan|nan|nan|nan|1|nan|1|
|EAS_CYP4F2|5|2|2|2|73|3|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|EAS_CYP2C9|2|nan|2|3|41|nan|1|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|EAS_CALU|3|2|10|1|44|nan|1|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|CHS_VKORC1|nan|1|2|nan|4|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHS_UGT2B7|1|nan|1|3|77|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHS_OPRM1|2|1|18|5|120|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHS_GGCX|1|nan|5|5|6|nan|1|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|CHS_DRD2|nan|4|2|1|69|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|
|CHS_CYP4F2|3|2|1|1|38|3|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHS_CYP2C9|nan|nan|1|1|8|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHS_CALU|1|1|4|nan|8|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHB_VKORC1|nan|3|nan|1|2|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHB_UGT2B7|2|nan|1|8|110|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHB_OPRM1|5|2|25|7|146|nan|3|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|CHB_GGCX|1|nan|4|6|10|nan|1|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|CHB_DRD2|nan|1|4|5|83|nan|1|nan|1|nan|nan|nan|nan|nan|1|nan|nan|
|CHB_CYP4F2|4|nan|1|2|31|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHB_CYP2C9|1|nan|1|nan|11|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CHB_CALU|1|1|4|1|20|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CEU_VKORC1|nan|2|1|2|2|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|
|CEU_UGT2B7|1|1|1|2|78|nan|3|nan|nan|3|nan|nan|nan|nan|nan|nan|nan|
|CEU_OPRM1|1|nan|27|6|161|nan|2|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|
|CEU_GGCX|1|nan|8|6|10|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CEU_DRD2|1|2|3|1|83|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CEU_CYP4F2|5|2|nan|1|48|3|1|nan|nan|1|nan|nan|nan|nan|nan|1|nan|
|CEU_CYP2C9|2|nan|4|nan|35|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CEU_CALU|2|2|6|nan|23|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CDX_VKORC1|nan|1|nan|1|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CDX_UGT2B7|2|nan|1|6|99|nan|3|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|
|CDX_OPRM1|6|1|10|nan|128|nan|3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CDX_GGCX|1|nan|5|7|7|1|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CDX_DRD2|nan|1|2|4|67|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CDX_CYP4F2|nan|nan|1|nan|13|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CDX_CYP2C9|nan|nan|nan|2|8|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|CDX_CALU|1|nan|3|nan|13|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|BEB_VKORC1|nan|nan|1|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|BEB_UGT2B7|1|nan|1|4|36|nan|4|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|BEB_OPRM1|3|nan|4|4|37|nan|2|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|BEB_GGCX|1|nan|1|2|6|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|BEB_DRD2|nan|1|2|nan|25|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|BEB_CYP4F2|3|2|1|1|20|3|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|BEB_CYP2C9|1|nan|3|1|7|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|BEB_CALU|2|1|1|nan|8|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ASW_VKORC1|1|3|2|nan|7|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ASW_UGT2B7|2|1|1|4|128|1|7|nan|nan|3|nan|nan|nan|nan|nan|nan|nan|
|ASW_OPRM1|6|2|22|5|184|nan|3|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|
|ASW_GGCX|1|nan|6|11|12|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ASW_DRD2|nan|3|5|4|78|nan|5|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|ASW_CYP4F2|7|6|5|3|76|3|4|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|
|ASW_CYP2D6|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ASW_CYP2C9|2|nan|6|1|24|nan|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ASW_CALU|3|1|7|1|27|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|AFR_VKORC1|4|11|5|9|14|nan|2|nan|nan|nan|nan|nan|nan|1|1|nan|nan|
|AFR_UGT2B7|5|5|5|16|474|2|9|nan|nan|3|nan|nan|1|1|nan|nan|nan|
|AFR_OPRM1|20|17|135|46|1,087|1|7|nan|1|2|1|nan|3|nan|nan|nan|nan|
|AFR_GGCX|2|3|37|33|36|2|5|nan|1|nan|nan|1|nan|nan|nan|nan|nan|
|AFR_DRD2|1|13|16|10|409|1|6|nan|nan|1|1|nan|nan|nan|nan|nan|nan|
|AFR_CYP4F2|12|8|14|4|212|3|4|1|1|1|nan|nan|nan|nan|nan|nan|nan|
|AFR_CYP2D6|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|AFR_CYP2C9|7|nan|18|7|193|3|2|2|nan|nan|nan|1|nan|nan|nan|nan|nan|
|AFR_CALU|5|11|24|5|132|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ACB_VKORC1|2|1|2|3|3|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ACB_UGT2B7|1|2|2|11|258|nan|7|nan|nan|3|nan|nan|nan|nan|nan|nan|nan|
|ACB_OPRM1|8|8|46|17|472|nan|4|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|
|ACB_GGCX|1|1|17|10|15|1|4|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|
|ACB_DRD2|1|5|6|6|175|nan|5|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|
|ACB_CYP4F2|7|6|5|2|96|3|4|nan|1|1|nan|nan|nan|nan|nan|nan|nan|
|ACB_CYP2D6|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ACB_CYP2C9|3|nan|3|4|82|1|1|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|
|ACB_CALU|1|4|9|1|63|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|

### Coding consequences

|Sample|missense_variant|synonymous_variant|frameshift_variant|stop_gained|start_lost|
|---|---|---|---|---|---|
|YRI_VKORC1|5|4|nan|nan|nan|
|YRI_UGT2B7|9|45|nan|nan|nan|
|YRI_OPRM1|79|22|nan|1|nan|
|YRI_GGCX|23|67|1|nan|nan|
|YRI_DRD2|nan|34|nan|nan|nan|
|YRI_CYP4F2|118|85|nan|nan|nan|
|YRI_CYP2C9|35|17|nan|nan|nan|
|YRI_CALU|35|nan|nan|nan|nan|
|TSI_UGT2B7|9|40|nan|nan|nan|
|TSI_OPRM1|31|2|nan|1|nan|
|TSI_GGCX|23|66|nan|nan|nan|
|TSI_DRD2|nan|25|nan|nan|nan|
|TSI_CYP4F2|82|19|nan|nan|nan|
|TSI_CYP2D6|nan|nan|20|nan|nan|
|TSI_CYP2C9|16|17|nan|nan|nan|
|TSI_CALU|35|nan|nan|nan|nan|
|STU_UGT2B7|9|24|nan|nan|nan|
|STU_OPRM1|16|2|nan|nan|nan|
|STU_GGCX|nan|23|nan|nan|nan|
|STU_DRD2|nan|16|nan|nan|nan|
|STU_CYP4F2|16|nan|nan|nan|nan|
|STU_CALU|24|nan|nan|nan|nan|
|SAS_VKORC1|16|nan|nan|nan|nan|
|SAS_UGT2B7|15|40|nan|nan|nan|
|SAS_OPRM1|32|17|nan|2|nan|
|SAS_GGCX|23|46|nan|nan|nan|
|SAS_DRD2|8|25|nan|nan|nan|
|SAS_CYP4F2|87|52|nan|nan|nan|
|SAS_CYP2C9|33|17|nan|nan|nan|
|SAS_CALU|35|nan|nan|nan|nan|
|PJL_VKORC1|6|nan|nan|nan|nan|
|PJL_UGT2B7|9|24|nan|nan|nan|
|PJL_OPRM1|17|2|nan|1|nan|
|PJL_GGCX|23|46|nan|nan|nan|
|PJL_DRD2|8|25|nan|nan|nan|
|PJL_CYP4F2|52|19|nan|nan|nan|
|PJL_CYP2C9|16|17|nan|nan|nan|
|PJL_CALU|24|nan|nan|nan|nan|
|MSL_VKORC1|7|10|nan|nan|nan|
|MSL_UGT2B7|16|40|nan|nan|nan|
|MSL_OPRM1|38|12|nan|nan|nan|
|MSL_GGCX|23|65|1|nan|nan|
