Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	SIFT summary	PolyPhen summary	Variants by chromosome	Position in protein	General statistics
CHB_CYP2C9	{'SNV': 14}	{'missense_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 1, 'intron_variant': 11}	{'missense_variant': 16, 'synonymous_variant': 17, '3_prime_UTR_variant': 3, 'intron_variant': 219, 'NMD_transcript_variant': 14, 'non_coding_transcript_variant': 2, 'upstream_gene_variant': 1, 'downstream_gene_variant': 6}	{'missense_variant': 16, 'synonymous_variant': 17}	{'deleterious_low_confidence': 1}	{'benign': 1}	{'chr10': 14}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 14, '80-90%': 0, '90-100%': 17}	{'Lines of input read': 14, 'Variants processed': 14, 'Variants filtered out': 0, 'Novel variants': 5, 'Existing variants': 9, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
CHB_CYP4F2	{'insertion': 2, 'SNV': 37}	{'missense_variant': 4, 'synonymous_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 31}	{'missense_variant': 69, 'synonymous_variant': 19, '3_prime_UTR_variant': 17, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 585, 'NMD_transcript_variant': 28, 'non_coding_transcript_variant': 44, 'upstream_gene_variant': 117, 'downstream_gene_variant': 37}	{'missense_variant': 69, 'synonymous_variant': 19}	{'tolerated': 2, 'tolerated_low_confidence': 5, 'deleterious_low_confidence': 15}	{'probably_damaging': 5, 'benign': 17}	{'chr19': 39}	{'00-10%': 15, '10-20%': 3, '20-30%': 0, '30-40%': 1, '40-50%': 1, '50-60%': 3, '60-70%': 13, '70-80%': 3, '80-90%': 20, '90-100%': 29}	{'Lines of input read': 39, 'Variants processed': 39, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 33, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
CHB_DRD2	{'deletion': 1, 'SNV': 95}	{'splice_acceptor_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 83, 'upstream_gene_variant': 1}	{'splice_acceptor_variant': 1, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 8, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 29, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 659, 'non_coding_transcript_variant': 100, 'upstream_gene_variant': 80, 'downstream_gene_variant': 80, 'regulatory_region_variant': 4}	{'synonymous_variant': 8}			{'chr11': 96}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 7, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 96, 'Variants processed': 96, 'Variants filtered out': 0, 'Novel variants': 29, 'Existing variants': 67, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
CHB_GGCX	{'deletion': 2, 'insertion': 2, 'SNV': 19}	{'missense_variant': 1, 'splice_region_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 10}	{'missense_variant': 23, 'splice_region_variant': 26, 'splice_polypyrimidine_tract_variant': 26, 'synonymous_variant': 23, '3_prime_UTR_variant': 36, 'non_coding_transcript_exon_variant': 37, 'intron_variant': 590, 'NMD_transcript_variant': 140, 'non_coding_transcript_variant': 112, 'upstream_gene_variant': 65, 'downstream_gene_variant': 132, 'regulatory_region_variant': 1}	{'missense_variant': 23, 'synonymous_variant': 23}	{'tolerated': 9}	{'benign': 9}	{'chr2': 23}	{'00-10%': 2, '10-20%': 3, '20-30%': 3, '30-40%': 10, '40-50%': 12, '50-60%': 10, '60-70%': 2, '70-80%': 1, '80-90%': 1, '90-100%': 2}	{'Lines of input read': 23, 'Variants processed': 23, 'Variants filtered out': 0, 'Novel variants': 3, 'Existing variants': 20, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 1}
CHB_OPRM1	{'insertion': 1, 'sequence_alteration': 1, 'deletion': 2, 'SNV': 185}	{'stop_gained': 1, 'missense_variant': 5, 'synonymous_variant': 3, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 25, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 146}	{'stop_gained': 1, 'missense_variant': 35, 'synonymous_variant': 36, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 43, 'non_coding_transcript_exon_variant': 19, 'intron_variant': 2194, 'NMD_transcript_variant': 290, 'non_coding_transcript_variant': 167, 'upstream_gene_variant': 61, 'downstream_gene_variant': 250, 'regulatory_region_variant': 2}	{'stop_gained': 1, 'missense_variant': 35, 'synonymous_variant': 36}	{'tolerated': 1, 'deleterious': 2, 'tolerated_low_confidence': 2, 'deleterious_low_confidence': 30}	{'unknown': 1, 'possibly_damaging': 5, 'benign': 12, 'probably_damaging': 17}	{'chr6': 189}	{'00-10%': 7, '10-20%': 7, '20-30%': 4, '30-40%': 11, '40-50%': 4, '50-60%': 6, '60-70%': 10, '70-80%': 1, '80-90%': 10, '90-100%': 12}	{'Lines of input read': 189, 'Variants processed': 189, 'Variants filtered out': 0, 'Novel variants': 69, 'Existing variants': 120, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 2}
CHB_UGT2B7	{'sequence_alteration': 1, 'deletion': 1, 'insertion': 3, 'SNV': 118}	{'missense_variant': 2, 'synonymous_variant': 2, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 110}	{'missense_variant': 18, 'synonymous_variant': 17, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 12, 'intron_variant': 660, 'non_coding_transcript_variant': 187, 'upstream_gene_variant': 178, 'downstream_gene_variant': 66, 'regulatory_region_variant': 8}	{'missense_variant': 18, 'synonymous_variant': 17}	{'tolerated_low_confidence': 8}	{'benign': 8}	{'chr4': 123}	{'00-10%': 0, '10-20%': 3, '20-30%': 3, '30-40%': 0, '40-50%': 11, '50-60%': 5, '60-70%': 6, '70-80%': 4, '80-90%': 2, '90-100%': 1}	{'Lines of input read': 123, 'Variants processed': 123, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 117, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 4}
CHB_VKORC1	{'SNV': 7}	{'synonymous_variant': 1, '5_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 2}	{'synonymous_variant': 1, '5_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 62, 'non_coding_transcript_variant': 6, 'upstream_gene_variant': 23, 'regulatory_region_variant': 1}	{'synonymous_variant': 1}			{'chr16': 7}	{'00-10%': 0, '10-20%': 0, '20-30%': 1, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 7, 'Variants processed': 7, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 5, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
CHS_CALU	{'insertion': 1, 'SNV': 13}	{'missense_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 4, 'intron_variant': 8}	{'missense_variant': 11, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 53, 'intron_variant': 230, 'upstream_gene_variant': 4, 'downstream_gene_variant': 50, 'regulatory_region_variant': 1}	{'missense_variant': 11}	{'tolerated': 9}	{'benign': 9}	{'chr7': 14}	{'00-10%': 0, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 14, 'Variants processed': 14, 'Variants filtered out': 0, 'Novel variants': 5, 'Existing variants': 9, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 1}
CHS_CYP2C9	{'SNV': 10}	{'3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 8}	{'3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 167, 'NMD_transcript_variant': 10, 'non_coding_transcript_variant': 2, 'upstream_gene_variant': 7, 'downstream_gene_variant': 4, 'regulatory_region_variant': 1}				{'chr10': 10}		{'Lines of input read': 10, 'Variants processed': 10, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 3, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 1}
CHS_CYP4F2	{'deletion': 3, 'insertion': 4, 'SNV': 43}	{'missense_variant': 3, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 38}	{'missense_variant': 52, 'splice_polypyrimidine_tract_variant': 21, 'synonymous_variant': 52, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 16, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 839, 'NMD_transcript_variant': 42, 'non_coding_transcript_variant': 70, 'upstream_gene_variant': 92, 'downstream_gene_variant': 38}	{'missense_variant': 52, 'synonymous_variant': 52}	{'tolerated': 2, 'deleterious_low_confidence': 5, 'tolerated_low_confidence': 10}	{'probably_damaging': 4, 'benign': 13}	{'chr19': 50}	{'00-10%': 20, '10-20%': 30, '20-30%': 0, '30-40%': 1, '40-50%': 1, '50-60%': 3, '60-70%': 14, '70-80%': 3, '80-90%': 19, '90-100%': 13}	{'Lines of input read': 50, 'Variants processed': 50, 'Variants filtered out': 0, 'Novel variants': 3, 'Existing variants': 47, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
CHS_DRD2	{'SNV': 78}	{'splice_donor_5th_base_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 69}	{'splice_donor_5th_base_variant': 1, 'synonymous_variant': 8, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 15, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 536, 'non_coding_transcript_variant': 81, 'upstream_gene_variant': 70, 'downstream_gene_variant': 71, 'regulatory_region_variant': 4}	{'synonymous_variant': 8}			{'chr11': 78}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 7, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 78, 'Variants processed': 78, 'Variants filtered out': 0, 'Novel variants': 22, 'Existing variants': 56, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
CHS_GGCX	{'insertion': 1, 'deletion': 3, 'SNV': 15}	{'missense_variant': 1, 'splice_region_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 6}	{'missense_variant': 23, 'splice_region_variant': 23, 'splice_polypyrimidine_tract_variant': 23, 'synonymous_variant': 23, '3_prime_UTR_variant': 16, 'non_coding_transcript_exon_variant': 26, 'intron_variant': 441, 'NMD_transcript_variant': 102, 'non_coding_transcript_variant': 83, 'upstream_gene_variant': 20, 'downstream_gene_variant': 210}	{'missense_variant': 23, 'synonymous_variant': 23}	{'tolerated': 9}	{'benign': 9}	{'chr2': 19}	{'00-10%': 2, '10-20%': 3, '20-30%': 3, '30-40%': 10, '40-50%': 12, '50-60%': 10, '60-70%': 2, '70-80%': 1, '80-90%': 1, '90-100%': 2}	{'Lines of input read': 19, 'Variants processed': 19, 'Variants filtered out': 0, 'Novel variants': 4, 'Existing variants': 15, 'Overlapped genes': 3, 'Overlapped transcripts': 51, 'Overlapped regulatory features': 0}
CHS_OPRM1	{'deletion': 2, 'insertion': 3, 'SNV': 143}	{'missense_variant': 2, 'synonymous_variant': 2, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 120}	{'missense_variant': 2, 'synonymous_variant': 19, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 25, 'non_coding_transcript_exon_variant': 12, 'intron_variant': 1796, 'NMD_transcript_variant': 217, 'non_coding_transcript_variant': 148, 'upstream_gene_variant': 56, 'downstream_gene_variant': 196, 'regulatory_region_variant': 2}	{'missense_variant': 2, 'synonymous_variant': 19}	{'tolerated': 1, 'tolerated_low_confidence': 1}	{'possibly_damaging': 1, 'unknown': 1}	{'chr6': 148}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 4, '50-60%': 12, '60-70%': 2, '70-80%': 0, '80-90%': 0, '90-100%': 3}	{'Lines of input read': 148, 'Variants processed': 148, 'Variants filtered out': 0, 'Novel variants': 56, 'Existing variants': 92, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 2}
CHS_UGT2B7	{'sequence_alteration': 1, 'deletion': 1, 'insertion': 3, 'SNV': 79}	{'missense_variant': 1, 'synonymous_variant': 2, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 77}	{'missense_variant': 9, 'synonymous_variant': 17, '3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 478, 'non_coding_transcript_variant': 139, 'upstream_gene_variant': 64, 'downstream_gene_variant': 60, 'regulatory_region_variant': 5}	{'missense_variant': 9, 'synonymous_variant': 17}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 84}	{'00-10%': 0, '10-20%': 2, '20-30%': 2, '30-40%': 0, '40-50%': 8, '50-60%': 3, '60-70%': 6, '70-80%': 3, '80-90%': 1, '90-100%': 1}	{'Lines of input read': 84, 'Variants processed': 84, 'Variants filtered out': 0, 'Novel variants': 3, 'Existing variants': 81, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
CHS_VKORC1	{'SNV': 7}	{'5_prime_UTR_variant': 1, '3_prime_UTR_variant': 2, 'intron_variant': 4}	{'5_prime_UTR_variant': 1, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 54, 'non_coding_transcript_variant': 5, 'upstream_gene_variant': 28, 'downstream_gene_variant': 6}				{'chr16': 7}		{'Lines of input read': 7, 'Variants processed': 7, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 5, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 0}
EAS_CALU	{'insertion': 1, 'sequence_alteration': 1, 'deletion': 2, 'SNV': 58}	{'stop_gained': 1, 'missense_variant': 3, 'synonymous_variant': 1, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 10, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 44}	{'stop_gained': 1, 'missense_variant': 59, 'synonymous_variant': 11, '5_prime_UTR_variant': 20, '3_prime_UTR_variant': 105, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 1177, 'upstream_gene_variant': 28, 'downstream_gene_variant': 218, 'regulatory_region_variant': 4}	{'stop_gained': 1, 'missense_variant': 59, 'synonymous_variant': 11}	{'tolerated_low_confidence': 1, 'deleterious_low_confidence': 1, 'deleterious': 19, 'tolerated': 28}	{'probably_damaging': 20, 'benign': 29}	{'chr7': 62}	{'00-10%': 24, '10-20%': 0, '20-30%': 20, '30-40%': 2, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 1, '90-100%': 24}	{'Lines of input read': 62, 'Variants processed': 62, 'Variants filtered out': 0, 'Novel variants': 33, 'Existing variants': 29, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 2}
EAS_CYP2C9	{'SNV': 50}	{'missense_variant': 2, 'splice_region_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 41}	{'missense_variant': 35, 'splice_region_variant': 18, 'splice_polypyrimidine_tract_variant': 18, 'synonymous_variant': 17, '3_prime_UTR_variant': 21, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 848, 'NMD_transcript_variant': 50, 'non_coding_transcript_variant': 12, 'upstream_gene_variant': 19, 'downstream_gene_variant': 20, 'regulatory_region_variant': 2}	{'missense_variant': 35, 'synonymous_variant': 17}	{'tolerated_low_confidence': 2, 'deleterious_low_confidence': 2}	{'benign': 4}	{'chr10': 50}	{'00-10%': 15, '10-20%': 3, '20-30%': 1, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 14, '80-90%': 0, '90-100%': 17}	{'Lines of input read': 50, 'Variants processed': 50, 'Variants filtered out': 0, 'Novel variants': 24, 'Existing variants': 26, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 1}
EAS_CYP4F2	{'deletion': 3, 'insertion': 4, 'SNV': 82}	{'missense_variant': 5, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 73}	{'missense_variant': 88, 'splice_polypyrimidine_tract_variant': 21, 'synonymous_variant': 52, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 32, 'non_coding_transcript_exon_variant': 15, 'intron_variant': 1489, 'NMD_transcript_variant': 74, 'non_coding_transcript_variant': 122, 'upstream_gene_variant': 212, 'downstream_gene_variant': 66}	{'missense_variant': 88, 'synonymous_variant': 52}	{'tolerated': 4, 'tolerated_low_confidence': 10, 'deleterious_low_confidence': 15}	{'probably_damaging': 5, 'benign': 24}	{'chr19': 89}	{'00-10%': 34, '10-20%': 33, '20-30%': 0, '30-40%': 2, '40-50%': 1, '50-60%': 4, '60-70%': 14, '70-80%': 3, '80-90%': 20, '90-100%': 29}	{'Lines of input read': 89, 'Variants processed': 89, 'Variants filtered out': 0, 'Novel variants': 19, 'Existing variants': 70, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
EAS_DRD2	{'deletion': 1, 'SNV': 193}	{'splice_acceptor_variant': 1, 'splice_donor_5th_base_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 173, 'upstream_gene_variant': 1}	{'splice_acceptor_variant': 1, 'splice_donor_5th_base_variant': 1, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 8, '5_prime_UTR_variant': 9, '3_prime_UTR_variant': 36, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 1345, 'non_coding_transcript_variant': 205, 'upstream_gene_variant': 163, 'downstream_gene_variant': 139, 'regulatory_region_variant': 13}	{'synonymous_variant': 8}			{'chr11': 194}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 7, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 194, 'Variants processed': 194, 'Variants filtered out': 0, 'Novel variants': 84, 'Existing variants': 110, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 6}
EAS_GGCX	{'sequence_alteration': 1, 'insertion': 3, 'deletion': 4, 'SNV': 35}	{'missense_variant': 1, 'splice_region_variant': 3, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 2, '3_prime_UTR_variant': 11, 'non_coding_transcript_exon_variant': 13, 'intron_variant': 12}	{'missense_variant': 23, 'splice_region_variant': 68, 'splice_polypyrimidine_tract_variant': 69, 'synonymous_variant': 46, '3_prime_UTR_variant': 83, 'non_coding_transcript_exon_variant': 72, 'intron_variant': 1049, 'NMD_transcript_variant': 248, 'non_coding_transcript_variant': 195, 'upstream_gene_variant': 84, 'downstream_gene_variant': 488, 'regulatory_region_variant': 1}	{'missense_variant': 23, 'synonymous_variant': 46}	{'tolerated': 9}	{'benign': 9}	{'chr2': 43}	{'00-10%': 2, '10-20%': 3, '20-30%': 5, '30-40%': 13, '40-50%': 14, '50-60%': 23, '60-70%': 2, '70-80%': 1, '80-90%': 2, '90-100%': 4}	{'Lines of input read': 43, 'Variants processed': 43, 'Variants filtered out': 0, 'Novel variants': 11, 'Existing variants': 32, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 1}
EAS_OPRM1	{'sequence_alteration': 1, 'insertion': 5, 'deletion': 8, 'SNV': 449}	{'stop_gained': 1, 'missense_variant': 10, 'synonymous_variant': 4, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 54, 'non_coding_transcript_exon_variant': 12, 'intron_variant': 378}	{'stop_gained': 1, 'missense_variant': 89, 'synonymous_variant': 54, '5_prime_UTR_variant': 13, '3_prime_UTR_variant': 100, 'non_coding_transcript_exon_variant': 48, 'intron_variant': 5221, 'NMD_transcript_variant': 653, 'non_coding_transcript_variant': 409, 'upstream_gene_variant': 168, 'downstream_gene_variant': 523, 'regulatory_region_variant': 10}	{'stop_gained': 1, 'missense_variant': 89, 'synonymous_variant': 54}	{'deleterious': 2, 'tolerated': 2, 'tolerated_low_confidence': 20, 'deleterious_low_confidence': 65}	{'unknown': 3, 'possibly_damaging': 13, 'probably_damaging': 34, 'benign': 39}	{'chr6': 463}	{'00-10%': 15, '10-20%': 9, '20-30%': 17, '30-40%': 22, '40-50%': 10, '50-60%': 18, '60-70%': 18, '70-80%': 12, '80-90%': 10, '90-100%': 13}	{'Lines of input read': 463, 'Variants processed': 463, 'Variants filtered out': 0, 'Novel variants': 187, 'Existing variants': 276, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 7}
EAS_UGT2B7	{'sequence_alteration': 1, 'deletion': 4, 'insertion': 4, 'SNV': 221}	{'missense_variant': 3, 'splice_region_variant': 2, 'synonymous_variant': 4, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 210}	{'missense_variant': 25, 'splice_region_variant': 2, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 32, '3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 15, 'intron_variant': 1104, 'non_coding_transcript_variant': 343, 'upstream_gene_variant': 260, 'downstream_gene_variant': 115, 'regulatory_region_variant': 14}	{'missense_variant': 25, 'synonymous_variant': 32}	{'tolerated_low_confidence': 11}	{'benign': 11}	{'chr4': 230}	{'00-10%': 5, '10-20%': 12, '20-30%': 9, '30-40%': 2, '40-50%': 11, '50-60%': 5, '60-70%': 6, '70-80%': 4, '80-90%': 2, '90-100%': 1}	{'Lines of input read': 230, 'Variants processed': 230, 'Variants filtered out': 0, 'Novel variants': 27, 'Existing variants': 203, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 4}
EAS_VKORC1	{'SNV': 15}	{'synonymous_variant': 1, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 6}	{'synonymous_variant': 1, '5_prime_UTR_variant': 11, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 118, 'non_coding_transcript_variant': 11, 'upstream_gene_variant': 54, 'downstream_gene_variant': 7, 'regulatory_region_variant': 2}	{'synonymous_variant': 1}			{'chr16': 15}	{'00-10%': 0, '10-20%': 0, '20-30%': 1, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 15, 'Variants processed': 15, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 9, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
ESN_CALU	{'SNV': 21}	{'missense_variant': 2, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 5, 'intron_variant': 11}	{'missense_variant': 35, '5_prime_UTR_variant': 20, '3_prime_UTR_variant': 58, 'intron_variant': 338, 'upstream_gene_variant': 6, 'downstream_gene_variant': 72, 'regulatory_region_variant': 1}	{'missense_variant': 35}	{'tolerated_low_confidence': 1, 'tolerated': 28}	{'benign': 29}	{'chr7': 21}	{'00-10%': 24, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 21, 'Variants processed': 21, 'Variants filtered out': 0, 'Novel variants': 4, 'Existing variants': 17, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 1}
ESN_CYP2C9	{'deletion': 1, 'SNV': 51}	{'frameshift_variant': 1, 'missense_variant': 4, 'synonymous_variant': 1, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 41}	{'frameshift_variant': 16, 'missense_variant': 51, 'splice_region_variant': 15, 'splice_polypyrimidine_tract_variant': 17, 'synonymous_variant': 17, '3_prime_UTR_variant': 23, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 858, 'NMD_transcript_variant': 52, 'non_coding_transcript_variant': 19, 'upstream_gene_variant': 14, 'downstream_gene_variant': 26}	{'frameshift_variant': 16, 'missense_variant': 51, 'synonymous_variant': 17}	{'tolerated_low_confidence': 3, 'deleterious_low_confidence': 3}	{'benign': 6}	{'chr10': 52}	{'00-10%': 0, '10-20%': 0, '20-30%': 4, '30-40%': 12, '40-50%': 6, '50-60%': 23, '60-70%': 4, '70-80%': 15, '80-90%': 15, '90-100%': 5}	{'Lines of input read': 52, 'Variants processed': 52, 'Variants filtered out': 0, 'Novel variants': 14, 'Existing variants': 38, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
ESN_CYP2D6	{'SNV': 1}	{'missense_variant': 1}	{'missense_variant': 29, 'synonymous_variant': 4, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 1, 'NMD_transcript_variant': 1, 'non_coding_transcript_variant': 1, 'upstream_gene_variant': 3, 'downstream_gene_variant': 11}	{'missense_variant': 29, 'synonymous_variant': 4}	{'tolerated': 3}	{'benign': 3}	{'chr22': 1}	{'00-10%': 0, '10-20%': 0, '20-30%': 32, '30-40%': 0, '40-50%': 1, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 1, 'Variants processed': 1, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 1, 'Overlapped genes': 3, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 0}
