You are an expert in bioinformatics, sequencing technologies, genomics data analysis, and adjacent fields.

You are given findings from a MultiQC report, generated by a bioinformatics workflow.
MultiQC supports various bioinformatics tools that output QC metrics, and aggregates those metrics
into a single report. It outputs a "General Statistics" table with key metrics for each sample across
all tools. That table is followed by more detailed sections from specific tools, that can include tables,
as well as plots of different types (bar plot, line plot, scatter plot, heatmap, etc.)

You are given data from such a report. Your task is to analyse the data, and
give 1-2 bullet points of a very short and concise overall summary for the results.
Don't waste words: mention only the important QC issues. If there are no issues, just say so.
Just print one or two bullet points, nothing else.
Please do not add any extra headers to the response.

Use markdown to format your reponse for readability. Use directives with pre-defined classes
.text-green, .text-red, and .text-yellow to highlight severity, e.g. :span[39.2%]{.text-red}.
Highlight any mentioned sample names or sample named prefixes or suffixes with a sample directive,
and make sure to use the same color classes for severity, e.g. :sample[A1001.2003]{.text-yellow}
or :sample[A1001]{.text-yellow}. Do not put multiple sample names inside one directive.

You must use only multiples of 4 spaces to indent nested lists.



Two examples of short summaries:

- :span[11/13 samples]{.text-green} show consistent metrics within expected ranges.
- :sample[A1001.2003]{.text-red} and :sample[A1001.2004]{.text-red} exhibit extremely high percentage of :span[duplicates]{.text-red} (:span[65.54%]{.text-red} and :span[83.14%]{.text-red}, respectively).

- All samples show good quality metrics with :span[75.7-77.0%]{.text-green} CpG methylation and :span[76.3-86.0%]{.text-green} alignment rates
- :sample[2wk]{.text-yellow} samples show slightly higher duplication (:span[11-15%]{.text-yellow}) compared to :sample[1wk]{.text-green} samples (:span[6-9%]{.text-green})'



----------------------

Tools used in the report:

1. Samtools
Description: <p>Toolkit for interacting with BAM/CRAM files.</p>
Links: http://www.htslib.org

----------------------

----------------------

Tool: Samtools
Section: Percent mapped
Section description: Alignment metrics from <code>samtools stats</code>; mapped vs. unmapped reads vs. reads mapped with MQ0.
Section help text: For a set of samples that have come from the same multiplexed library,
similar numbers of reads for each sample are expected. Large differences in numbers might
indicate issues during the library preparation process. Whilst large differences in read
numbers may be controlled for in downstream processings (e.g. read count normalisation),
you may wish to consider whether the read depths achieved have fallen below recommended
levels depending on the applications.
Low alignment rates could indicate contamination of samples (e.g. adapter sequences),
low sequencing quality or other artefacts. These can be further investigated in the
sequence level QC (e.g. from FastQC).
Reads mapped with MQ0 often indicate that the reads are ambiguously mapped to multiple
locations in the reference sequence. This can be due to repetitive regions in the genome,
the presence of alternative contigs in the reference, or due to reads that are too short
to be uniquely mapped. These reads are often filtered out in downstream analyses.
Title: Samtools: stats: Alignment Scores

Plot type: bar plot
Values: # Reads

|Sample|Mapped (with MQ>0)|MQ0|Unmapped|
|HG03558|27.93|27.93|27.92|0.03|0.0|27.90|27.70|27.89|0.00|0.12|0.09|
|HG03572|3.15|3.15|3.15|0.00|0.0|3.15|3.11|3.15|0.00|0.02|0.01|
|HG03603|83.23|83.23|83.22|0.12|0.0|83.11|82.48|83.10|0.00|0.51|0.44|
|HG03619|149.53|149.53|149.48|0.26|0.0|149.27|148.10|149.22|0.01|0.81|0.57|
|HG03672|55.06|55.06|55.06|0.05|0.0|55.02|54.79|55.01|0.00|0.16|0.13|
|HG03723|62.21|62.21|62.21|0.04|0.0|62.17|61.95|62.16|0.00|0.14|0.11|
|HG03790|72.77|72.77|72.77|0.07|0.0|72.71|72.35|72.70|0.00|0.23|0.18|
|HG03814|46.33|46.33|46.32|0.04|0.0|46.29|46.02|46.28|0.00|0.18|0.16|
|NA06989|0.48|0.48|0.47|0.00|0.0|0.48|0.47|0.47|0.00|0.00|0.00|
|NA11840|48.99|48.99|48.95|0.23|0.0|48.77|47.21|48.72|0.00|1.30|1.14|
|NA12046|49.90|49.90|49.55|0.02|0.0|49.88|49.06|49.53|0.00|0.07|0.04|
|NA12234|64.79|64.79|64.75|0.03|0.0|64.77|64.30|64.72|0.00|0.08|0.05|
|NA12347|112.77|112.77|112.75|0.03|0.0|112.75|111.91|112.72|0.00|0.43|0.38|
|NA18488|181.43|181.43|181.08|0.08|0.0|181.35|180.11|180.99|0.01|0.45|0.30|
|NA18498|79.42|79.42|79.18|0.04|0.0|79.37|78.88|79.13|0.00|0.16|0.09|
|NA18499|0.59|0.59|0.59|0.00|0.0|0.59|0.59|0.59|0.00|0.00|0.00|
|NA18526|97.66|97.66|97.60|0.12|0.0|97.54|94.11|97.45|0.03|2.84|2.54|
|NA18530|113.39|113.39|113.37|0.04|0.0|113.35|112.71|113.33|0.00|0.30|0.25|
|NA18645|46.50|46.50|46.46|0.01|0.0|46.48|45.78|46.44|0.00|0.06|0.03|
|NA18858|123.11|123.11|123.07|0.03|0.0|123.08|122.22|123.04|0.00|0.43|0.37|
|NA18870|137.43|137.43|137.40|0.04|0.0|137.39|136.04|137.35|0.01|0.37|0.28|
|NA18946|0.15|0.15|0.15|0.00|0.0|0.15|0.15|0.15|0.00|0.00|0.00|
|NA18993|64.15|64.15|64.02|0.01|0.0|64.14|63.71|64.01|0.00|0.05|0.03|
|NA19001|0.25|0.25|0.25|0.00|0.0|0.25|0.25|0.25|0.0|0.00|0.00|
|NA19020|46.43|46.43|46.35|0.01|0.0|46.42|45.77|46.34|0.00|0.05|0.03|
|NA19036|59.37|59.37|59.33|0.01|0.0|59.36|58.81|59.32|0.00|0.05|0.03|
|NA19175|54.50|54.50|54.47|0.01|0.0|54.49|54.15|54.46|0.00|0.04|0.03|
|NA19184|63.08|63.08|63.02|0.02|0.0|63.05|62.63|62.99|0.00|0.06|0.04|
|NA19201|52.82|52.82|52.79|0.12|0.0|52.70|51.07|52.67|0.00|1.37|1.19|
|NA19307|74.94|74.94|74.83|0.02|0.0|74.92|74.46|74.81|0.00|0.06|0.04|
|NA19324|50.46|50.46|50.45|0.06|0.0|50.40|49.20|50.39|0.00|1.02|0.89|
|NA19347|129.55|129.55|129.36|0.05|0.0|129.49|128.63|129.30|0.01|0.40|0.32|
|NA19372|72.05|72.05|72.02|0.01|0.0|72.04|71.24|72.01|0.00|0.08|0.04|
|NA19922|65.53|65.53|65.52|0.01|0.0|65.52|65.30|65.50|0.00|0.05|0.03|
|NA20274|49.51|49.51|49.50|0.06|0.0|49.46|49.16|49.45|0.00|0.22|0.18|
|NA20339|72.35|72.35|72.24|0.01|0.0|72.33|71.94|72.23|0.00|0.06|0.04|
|NA20342|50.76|50.76|50.75|0.03|0.0|50.73|50.25|50.71|0.00|0.35|0.29|
|NA20351|79.29|79.29|79.17|0.02|0.0|79.28|78.82|79.15|0.00|0.06|0.04|
|NA20355|45.99|45.99|45.98|0.07|0.0|45.92|45.57|45.91|0.00|0.26|0.21|
|NA20503|74.88|74.88|74.81|0.02|0.0|74.86|74.34|74.79|0.00|0.07|0.04|
|NA20506|49.15|49.15|49.06|0.01|0.0|49.14|48.77|49.05|0.00|0.05|0.03|
|NA20507|54.16|54.16|54.07|0.02|0.0|54.14|53.68|54.05|0.00|0.07|0.04|
|NA20511|58.39|58.39|58.38|0.05|0.0|58.33|58.05|58.32|0.00|0.20|0.16|
|NA20761|86.87|86.87|86.74|0.03|0.0|86.85|86.00|86.71|0.00|0.23|0.19|
|NA20864|106.13|106.13|106.11|0.07|0.0|106.06|104.26|106.03|0.00|0.42|0.34|
|NA20900|54.63|54.63|54.63|0.05|0.0|54.59|54.29|54.58|0.00|0.21|0.18|
|NA21092|59.77|59.77|59.72|0.08|0.0|59.69|58.50|59.64|0.00|0.92|0.79|

----------------------

Tool: Samtools
Section: Flagstat: Percentage of total
Section description: This module parses the output from <code>samtools flagstat</code>
Title: Samtools: flagstat: percentage of total

Plot type: violin plot

Number of samples: 96

Metrics:
Total Reads - Total Reads
Total Passed QC - Total Passed QC
Mapped - Mapped
Supplementary Alignments - Supplementary Alignments
Duplicates - Duplicates
Paired in Sequencing - Paired in Sequencing
Properly Paired - Properly Paired
Self and mate mapped - Self and mate mapped
Singletons - Singletons
Mate mapped to diff chr - Mate mapped to diff chr
Diff chr (mapQ >= 5) - Diff chr (mapQ >= 5)

|Sample Name|Total Reads|Total Passed QC|Mapped|Supplementary Alignments|Duplicates|Paired in Sequencing|Properly Paired|Self and mate mapped|Singletons|Mate mapped to diff chr|Diff chr (mapQ >= 5)|
|---|---|---|---|---|---|---|---|---|---|---|---|
|HG00097|100.00|100.00|99.90|0.02|0.0|99.98|99.11|99.89|0.00|0.10|0.06|
|HG00105|100.00|100.00|99.87|0.02|0.0|99.98|99.34|99.85|0.00|0.07|0.04|
|HG00106|100.00|100.00|99.86|0.02|0.0|99.98|99.04|99.84|0.00|0.10|0.06|
|HG00125|100.00|100.00|99.93|0.08|0.0|99.92|93.69|99.80|0.04|5.47|4.93|
|HG00145|100.00|100.00|99.64|0.03|0.0|99.97|99.11|99.60|0.01|0.23|0.16|
|HG00171|100.00|100.00|99.98|0.03|0.0|99.97|99.31|99.94|0.00|0.28|0.23|
|HG00173|100.00|100.00|99.87|0.02|0.0|99.98|98.73|99.85|0.00|0.17|0.11|
|HG00313|100.00|100.00|99.91|0.07|0.0|99.93|97.57|99.82|0.02|1.39|1.23|
|HG00324|100.00|100.00|99.94|0.08|0.0|99.92|95.59|99.81|0.05|3.61|3.24|
|HG00376|100.00|100.00|99.91|0.07|0.0|99.93|98.34|99.82|0.02|1.13|1.00|
|HG00407|100.00|100.00|99.95|0.07|0.0|99.93|95.51|99.85|0.04|3.97|3.58|
|HG00699|100.00|100.00|99.90|0.11|0.0|99.89|94.19|99.74|0.06|4.95|4.43|
|HG00956|100.00|100.00|99.34|0.03|0.0|99.97|98.23|99.30|0.00|0.22|0.17|
|HG01501|100.00|100.00|99.87|0.02|0.0|99.98|99.30|99.84|0.00|0.09|0.06|
|HG01503|100.00|100.00|99.94|0.02|0.0|99.98|99.43|99.91|0.00|0.09|0.06|
|HG01504|100.00|100.00|99.91|0.02|0.0|99.98|99.34|99.89|0.00|0.09|0.05|
|HG01522|100.00|100.00|99.18|0.05|0.0|99.95|97.36|99.12|0.01|1.47|1.29|
|HG01596|100.00|100.00|99.95|0.06|0.0|99.94|98.90|99.89|0.00|0.42|0.36|
|HG01770|100.00|100.00|99.89|0.03|0.0|99.97|99.33|99.86|0.00|0.11|0.07|
|HG01880|100.00|100.00|99.98|0.07|0.0|99.93|98.77|99.91|0.00|0.41|0.34|
|HG01882|100.00|100.00|99.99|0.06|0.0|99.94|98.36|99.92|0.01|0.45|0.37|
|HG01886|100.00|100.00|99.98|0.04|0.0|99.96|98.06|99.93|0.01|1.70|1.47|
|HG01890|100.00|100.00|99.91|0.03|0.0|99.97|99.34|99.88|0.00|0.09|0.05|
|HG01986|100.00|100.00|99.97|0.07|0.0|99.93|98.32|99.90|0.00|0.33|0.25|
|HG02013|100.00|100.00|99.94|0.09|0.0|99.91|98.07|99.83|0.02|0.45|0.36|
|HG02085|100.00|100.00|99.87|0.03|0.0|99.97|99.23|99.84|0.00|0.11|0.06|
|HG02372|100.00|100.00|99.97|0.07|0.0|99.93|99.20|99.90|0.00|0.47|0.40|
|HG02511|100.00|100.00|99.91|0.02|0.0|99.98|99.30|99.88|0.00|0.10|0.06|
|HG02651|100.00|100.00|100.00|0.10|0.0|99.90|99.47|99.90|0.00|0.33|0.27|
|HG02691|100.00|100.00|100.00|0.09|0.0|99.91|99.24|99.90|0.00|0.33|0.27|
|HG02813|100.00|100.00|99.99|0.10|0.0|99.90|99.30|99.89|0.00|0.42|0.34|
|HG02814|100.00|100.00|99.98|0.10|0.0|99.90|99.27|99.88|0.00|0.42|0.36|
|HG02840|100.00|100.00|99.99|0.08|0.0|99.92|99.26|99.91|0.00|0.47|0.40|
|HG02852|100.00|100.00|99.96|0.10|0.0|99.90|99.27|99.85|0.00|0.41|0.34|
|HG02878|100.00|100.00|99.94|0.19|0.0|99.81|98.76|99.75|0.00|0.76|0.59|
|HG02895|100.00|100.00|99.99|0.11|0.0|99.89|99.29|99.87|0.00|0.45|0.37|
|HG02977|100.00|100.00|99.99|0.09|0.0|99.91|99.35|99.89|0.00|0.37|0.31|
|HG02981|100.00|100.00|99.99|0.11|0.0|99.89|95.88|99.87|0.00|3.68|3.24|
|HG02982|100.00|100.00|99.99|0.10|0.0|99.90|99.02|99.89|0.00|0.73|0.62|
|HG03076|100.00|100.00|99.99|0.03|0.0|99.97|99.25|99.96|0.00|0.46|0.39|
|HG03078|100.00|100.00|99.55|0.04|0.0|99.96|98.39|99.14|0.38|0.33|0.25|
|HG03105|100.00|100.00|99.99|0.11|0.0|99.89|99.19|99.88|0.00|0.54|0.46|
|HG03139|100.00|100.00|99.99|0.10|0.0|99.90|99.14|99.89|0.00|0.58|0.50|
|HG03157|100.00|100.00|99.99|0.13|0.0|99.87|99.13|99.86|0.00|0.54|0.45|
|HG03267|100.00|100.00|99.99|0.12|0.0|99.88|99.20|99.87|0.00|0.49|0.42|
|HG03303|100.00|100.00|99.97|0.13|0.0|99.87|98.99|99.83|0.00|0.70|0.60|
|HG03436|100.00|100.00|99.99|0.04|0.0|99.96|98.84|99.95|0.00|0.48|0.39|
|HG03437|100.00|100.00|99.97|0.04|0.0|99.96|98.88|99.92|0.00|0.47|0.39|
|HG03446|100.00|100.00|99.98|0.12|0.0|99.88|99.16|99.86|0.00|0.51|0.40|
|HG03558|100.00|100.00|99.95|0.11|0.0|99.89|99.17|99.85|0.00|0.43|0.32|
|HG03572|100.00|100.00|99.97|0.05|0.0|99.95|98.67|99.91|0.00|0.54|0.44|
|HG03603|100.00|100.00|99.99|0.14|0.0|99.86|99.10|99.84|0.00|0.62|0.53|
|HG03619|100.00|100.00|99.97|0.17|0.0|99.83|99.04|99.79|0.00|0.54|0.38|
|HG03672|100.00|100.00|100.00|0.09|0.0|99.91|99.50|99.91|0.00|0.28|0.24|
|HG03723|100.00|100.00|100.00|0.07|0.0|99.93|99.59|99.92|0.00|0.22|0.18|
|HG03790|100.00|100.00|100.00|0.09|0.0|99.91|99.41|99.90|0.00|0.31|0.25|
|HG03814|100.00|100.00|99.99|0.09|0.0|99.91|99.34|99.89|0.00|0.39|0.34|
|NA06989|100.00|100.00|99.35|0.06|0.0|99.94|98.66|99.29|0.01|0.31|0.22|
|NA11840|100.00|100.00|99.92|0.46|0.0|99.54|96.37|99.45|0.01|2.66|2.34|
|NA12046|100.00|100.00|99.30|0.04|0.0|99.96|98.33|99.26|0.00|0.14|0.08|
|NA12234|100.00|100.00|99.92|0.04|0.0|99.96|99.24|99.88|0.00|0.13|0.08|
|NA12347|100.00|100.00|99.98|0.03|0.0|99.97|99.23|99.95|0.00|0.38|0.33|
|NA18488|100.00|100.00|99.81|0.04|0.0|99.96|99.27|99.76|0.01|0.25|0.16|
|NA18498|100.00|100.00|99.70|0.05|0.0|99.95|99.32|99.64|0.01|0.20|0.12|
|NA18499|100.00|100.00|99.99|0.02|0.0|99.98|99.23|99.96|0.00|0.28|0.23|
|NA18526|100.00|100.00|99.94|0.12|0.0|99.88|96.37|99.79|0.03|2.91|2.60|
|NA18530|100.00|100.00|99.98|0.03|0.0|99.97|99.41|99.95|0.00|0.26|0.22|
|NA18645|100.00|100.00|99.91|0.03|0.0|99.97|98.45|99.88|0.00|0.13|0.06|
|NA18858|100.00|100.00|99.97|0.03|0.0|99.97|99.27|99.94|0.00|0.35|0.30|
|NA18870|100.00|100.00|99.98|0.03|0.0|99.97|98.99|99.94|0.01|0.27|0.21|
|NA18946|100.00|100.00|99.86|0.03|0.0|99.97|98.85|99.83|0.00|0.23|0.18|
|NA18993|100.00|100.00|99.80|0.02|0.0|99.98|99.32|99.79|0.00|0.08|0.05|
|NA19001|100.00|100.00|99.82|0.01|0.0|99.99|99.33|99.81|0.0|0.08|0.05|
|NA19020|100.00|100.00|99.81|0.02|0.0|99.98|98.58|99.79|0.00|0.12|0.06|
|NA19036|100.00|100.00|99.94|0.02|0.0|99.98|99.06|99.92|0.00|0.09|0.04|
|NA19175|100.00|100.00|99.95|0.01|0.0|99.99|99.36|99.94|0.00|0.08|0.05|
|NA19184|100.00|100.00|99.90|0.04|0.0|99.96|99.30|99.87|0.00|0.10|0.06|
|NA19201|100.00|100.00|99.95|0.23|0.0|99.77|96.69|99.72|0.01|2.60|2.25|
|NA19307|100.00|100.00|99.85|0.02|0.0|99.98|99.36|99.83|0.00|0.08|0.05|
|NA19324|100.00|100.00|99.98|0.11|0.0|99.89|97.50|99.86|0.00|2.02|1.76|
|NA19347|100.00|100.00|99.85|0.04|0.0|99.96|99.29|99.81|0.01|0.31|0.25|
|NA19372|100.00|100.00|99.96|0.02|0.0|99.98|98.88|99.94|0.00|0.11|0.06|
|NA19922|100.00|100.00|99.97|0.02|0.0|99.98|99.65|99.95|0.00|0.08|0.05|
|NA20274|100.00|100.00|99.98|0.11|0.0|99.89|99.29|99.87|0.01|0.45|0.35|
|NA20339|100.00|100.00|99.85|0.02|0.0|99.98|99.44|99.83|0.00|0.08|0.05|
|NA20342|100.00|100.00|99.97|0.06|0.0|99.94|98.99|99.91|0.00|0.69|0.57|
|NA20351|100.00|100.00|99.84|0.02|0.0|99.98|99.40|99.82|0.00|0.08|0.05|
|NA20355|100.00|100.00|99.98|0.15|0.0|99.85|99.11|99.83|0.00|0.57|0.47|
|NA20503|100.00|100.00|99.91|0.02|0.0|99.98|99.29|99.88|0.00|0.09|0.05|
|NA20506|100.00|100.00|99.83|0.03|0.0|99.97|99.22|99.80|0.00|0.10|0.06|
|NA20507|100.00|100.00|99.83|0.03|0.0|99.97|99.12|99.81|0.00|0.13|0.08|
|NA20511|100.00|100.00|99.98|0.09|0.0|99.91|99.43|99.89|0.00|0.34|0.27|
|NA20761|100.00|100.00|99.85|0.03|0.0|99.97|99.00|99.82|0.00|0.27|0.22|
|NA20864|100.00|100.00|99.98|0.07|0.0|99.93|98.24|99.91|0.00|0.40|0.32|
|NA20900|100.00|100.00|99.99|0.08|0.0|99.92|99.38|99.91|0.00|0.39|0.33|
|NA21092|100.00|100.00|99.93|0.13|0.0|99.87|97.88|99.79|0.01|1.54|1.33|

----------------------

Tool: Samtools
Section: XY counts
Title: Samtools: idxstats: chrXY mapped reads

Plot type: bar plot
Values: Percent of X+Y Reads

|Sample|Chromosome X|Chromosome Y|
|---|---|---|
|NA21092|85%|14%|
|NA20900|98%|1%|
|NA20864|85%|14%|
|NA20761|98%|1%|
|NA20511|83%|16%|
|NA20507|98%|1%|
|NA20506|97%|2%|
|NA20503|98%|1%|
|NA20355|98%|1%|
|NA20351|89%|10%|
|NA20342|84%|15%|
|NA20339|98%|1%|
|NA20274|98%|1%|
|NA19922|89%|10%|
|NA19372|89%|10%|
|NA19347|86%|13%|
|NA19324|98%|1%|
|NA19307|89%|10%|
|NA19201|98%|1%|
|NA19184|89%|10%|
|NA19175|87%|12%|
|NA19036|98%|1%|
|NA19020|88%|11%|
|NA19001|98%|1%|
|NA18993|98%|1%|
|NA18946|98%|1%|
|NA18870|98%|1%|
|NA18858|98%|1%|
|NA18645|88%|11%|
|NA18530|85%|14%|
|NA18526|98%|1%|
|NA18499|98%|1%|
|NA18498|78%|21%|
|NA18488|97%|2%|
|NA12347|85%|14%|
|NA12234|98%|1%|
|NA12046|97%|2%|
|NA11840|98%|1%|
|NA06989|97%|2%|
|HG03814|98%|1%|
|HG03790|81%|18%|
|HG03723|98%|1%|
|HG03672|81%|18%|
|HG03619|97%|2%|
|HG03603|82%|17%|
|HG03572|98%|1%|
|HG03558|97%|2%|
|HG03446|97%|2%|
|HG03437|98%|1%|
|HG03436|88%|11%|
|HG03303|98%|1%|
|HG03267|98%|1%|
|HG03157|82%|17%|
|HG03139|82%|17%|
|HG03105|98%|1%|
|HG03078|88%|11%|
|HG03076|98%|1%|
|HG02982|80%|19%|
|HG02981|81%|18%|
|HG02977|82%|17%|
|HG02895|81%|18%|
|HG02878|78%|21%|
|HG02852|98%|1%|
|HG02840|98%|1%|
|HG02814|98%|1%|
|HG02813|81%|18%|
|HG02691|98%|1%|
|HG02651|81%|18%|
|HG02511|98%|1%|
|HG02372|91%|8%|
|HG02085|88%|11%|
|HG02013|85%|14%|
|HG01986|85%|14%|
|HG01890|89%|10%|
|HG01886|98%|1%|
|HG01882|85%|14%|
|HG01880|98%|1%|
|HG01770|98%|1%|
|HG01596|86%|13%|
|HG01522|99%|0%|
|HG01504|98%|1%|
|HG01503|89%|10%|
|HG01501|98%|1%|
|HG00956|98%|1%|
|HG00699|98%|1%|
|HG00407|98%|1%|
|HG00376|98%|1%|
|HG00324|98%|1%|
|HG00313|98%|1%|
|HG00173|98%|1%|
|HG00171|98%|1%|
|HG00145|82%|17%|
|HG00125|98%|1%|
|HG00106|98%|1%|
|HG00105|89%|10%|
|HG00097|98%|1%|

----------------------

Tool: Samtools
Section: Mapped reads per contig
Section description: The <code>samtools idxstats</code> tool counts the number of mapped reads per chromosome / contig. Chromosomes with &lt; 0.1% of the total aligned reads are omitted from this plot.
Title: Samtools: idxstats: Mapped reads per contig

Plot type: x/y line
X axis: Chromosome name
Y axis: # mapped reads

### Normalised Counts

Samples: HG00097, HG00105, HG00106, HG00125, HG00145, HG00171, HG00173, HG00313, HG00324, HG00376, HG00407, HG00699, HG00956, HG01501, HG01503, HG01504, HG01522, HG01596, HG01770, HG01880, HG01882, HG01886, HG01890, HG01986, HG02013, HG02085, HG02372, HG02511, HG02651, HG02691, HG02813, HG02814, HG02840, HG02852, HG02878, HG02895, HG02977, HG02981, HG02982, HG03076, HG03078, HG03105, HG03139, HG03157, HG03267, HG03303, HG03436, HG03437, HG03446, HG03558, HG03572, HG03603, HG03619, HG03672, HG03723, HG03790, HG03814, NA06989, NA11840, NA12046, NA12234, NA12347, NA18488, NA18498, NA18499, NA18526, NA18530, NA18645, NA18858, NA18870, NA18946, NA18993, NA19001, NA19020, NA19036, NA19175, NA19184, NA19201, NA19307, NA19324, NA19347, NA19372, NA19922, NA20274, NA20339, NA20342, NA20351, NA20355, NA20503, NA20506, NA20507, NA20511, NA20761, NA20864, NA20900, NA21092

HG00097 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00105 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00106 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00125 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00145 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00171 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00173 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00313 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00324 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00376 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00407 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00699 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

HG00956 chr1: 0, chr10: 0, chr11: 0, chr12: 0, chr13: 0, chr14: 0, chr15: 0, chr16: 0, chr17: 0, chr18: 0, chr19: 0, chr2: 0, chr20: 0, chr21: 0, chr22: 0, chr3: 0, chr4: 0, chr5: 0, chr6: 0, chr7: 0, chr8: 0, chr9: 0, chr16_KI270853v1_alt: 0, chr17_KI270857v1_alt: 0, chr15_KI270905v1_alt: 0, chrX: 0, chrY: 0

